Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.663476083,-4.029620361,9.004674683,1.431323547,9.968485015
2.673506083,-3.434757385,10.66083069,1.505419464,11.30120157
2.683535083,-3.716920624,10.4351001,-0.029338989,11.07734958
2.693564083,-3.252436523,9.760303345,-0.451311493,10.29784185
2.703593083,-2.275717621,10.23346939,0.908909912,10.52278023
2.713622083,-1.766925659,11.32754425,1.594484253,11.57487214
2.723651083,-1.606159973,11.89112228,0.80622345,12.02616045
2.733680083,-1.813478851,11.93647797,0.109422455,12.07394654
2.743710083,-1.578766937,11.66718796,0.555345154,11.78661054
2.753739083,-1.059945831,11.82555862,1.084943848,11.92243369
2.763768083,-0.642913055,12.16864517,1.137185211,12.23856416
2.773797083,-0.418978729,12.4668251,1.087937622,12.52121718
2.783826083,-0.367785187,12.86409897,0.867745514,12.89857707
2.793856083,-0.759071503,14.94911316,1.196911011,15.0161503
2.803885083,-1.194066925,16.85285431,1.236279144,16.94027391
2.813914083,-1.654060364,12.62444733,0.529299316,12.74334115
2.823943083,-1.885778503,9.424701233,0.590222626,9.62961664
2.833972083,-1.224753113,9.449399872,0.659079437,9.551207454
2.844001083,-1.53984787,8.923543396,0.904568939,9.100494666
2.854030083,-1.828148346,8.745713196,1.366807709,9.038682923
2.864060083,-1.60765686,8.782386932,1.319655762,9.025318395
2.874089083,-1.593885498,8.808283081,1.642684021,9.100809448
2.884118083,-2.251018982,8.140970764,1.665885773,8.609161797
2.894147083,-2.202519836,8.570278015,1.30229187,8.944088718
2.904176083,-1.710193634,9.143286438,1.071022797,9.363308122
2.914205083,0.147144013,10.05354355,1.190324707,10.12483393
2.924235083,1.361867981,10.51518356,1.276395721,10.67955785
2.934264083,1.485061798,10.41863434,1.154399414,10.58706702
2.944293083,2.094145203,10.59586578,0.875679016,10.83626456
2.954322083,2.402503967,10.62565384,0.936752014,10.93407743
2.964351083,2.758164368,10.44497955,1.036893768,10.85265945
2.974380083,3.044219513,10.18990997,0.805175629,10.66535726
2.984410083,3.045117645,10.0541423,0.442479858,10.51448084
2.994439083,3.258424072,10.17643799,0.21884491,10.68761483
3.004468083,3.42248291,10.20098694,0.131426697,10.76061322
3.014497083,3.566782837,10.26535309,0.199385376,10.86918435
3.024526083,3.328478394,10.30681686,0.274379425,10.83441398
3.034555083,3.062631226,10.59676392,0.158670044,11.03160422
3.044585083,2.504441986,10.67699707,0.114960938,10.96739313
3.054614083,2.273322601,10.86276077,0.029488678,11.09812763
3.064643083,2.083517303,10.54018158,0.361947327,10.75023153
3.074672083,2.217937775,10.04037094,0.438587952,10.29177613
3.084701083,1.675316162,9.676777039,0.141455841,9.82174668
3.094730083,0.816252594,9.20391037,0.084873505,9.240424119
3.104760083,0.734223175,9.2566008,0.466130676,9.297366285
3.114789083,0.679437103,9.448950806,0.677940216,9.49757385
3.124818083,0.49262558,9.513167267,0.730630646,9.553892011
3.134847083,0.527802429,9.642797699,0.819396057,9.691931323
3.144876083,0.762214966,9.600286102,0.687071228,9.654974457
3.154905083,0.900826721,9.495354309,0.731079712,9.565966746
3.164935083,0.878822479,9.414971466,0.725391541,9.483681223
3.174964083,0.916993103,9.456435242,0.688568115,9.525710991
3.184993083,1.014141083,9.553882599,0.767753449,9.638184487
3.195022083,1.152902527,9.605674896,0.899180145,9.716310997
3.205051083,1.369801483,9.684261475,0.931213532,9.824888552
3.215080083,1.575174408,9.723779297,0.931961975,9.894524312
3.225110083,1.536554718,9.777816925,0.802331543,9.930278955
3.235139083,1.238973541,9.778715057,0.699196014,9.881659713
3.245168083,1.028960266,9.746082916,0.627644806,9.820327359
3.255197083,1.055754547,9.778265991,0.597108307,9.853204646
3.265226083,1.226399689,9.776469727,0.613873444,9.872196165
3.275255083,1.307680664,9.747579803,0.682730255,9.858572987
3.285285083,1.190324707,9.730664978,0.64710434,9.824533467
3.295314083,1.209335175,9.759255524,0.544268189,9.848948563
3.305343083,1.27310257,9.715995483,0.539178772,9.813871414
3.315372083,1.228495331,9.664203186,0.53828064,9.756831968
3.325401083,1.221010895,9.693542175,0.501008148,9.782976882
3.335430083,1.258433075,9.780661011,0.461490326,9.872079666
3.345459083,1.278491364,9.82047821,0.422870636,9.912373683
3.355489083,1.334624634,9.949509888,0.412392426,10.04709099
3.365518083,1.457369385,9.888287201,0.430205383,10.00436035
3.375547083,1.30932724,9.703421631,0.437390442,9.801124403
3.385576083,1.195563812,9.735005951,0.404458923,9.816481076
3.395605083,0.974024506,9.631571045,0.407602387,9.689273669
3.405634083,0.870739288,9.617799683,0.474962311,9.668807933
3.415664083,0.828078003,9.592502289,0.48559021,9.640415509
3.425693083,0.837508392,9.568103027,0.577798462,9.622051076
3.435722083,0.848435669,9.59819046,0.584085388,9.653303007
3.445751083,0.894240418,9.672286377,0.559386749,9.729630169
3.455780083,0.950673065,9.751771088,0.502355347,9.810870477
3.465813458,1.018631744,9.821376343,0.409698029,9.882555154
3.475843458,1.189426575,9.857301636,0.307310944,9.933557828
3.485872458,1.222956848,9.777966614,0.174087982,9.855686743
3.495901458,1.300944672,9.716893616,0.155825958,9.804833518
3.505930458,1.243314514,9.727222137,0.247285767,9.809476629
3.515959458,1.245110779,9.712103577,0.315543823,9.796674162
3.525988458,1.179696808,9.703870697,0.342936859,9.781328987
3.536017458,1.12446167,9.726174316,0.379909973,9.798327024
3.546047458,1.04258194,9.708660736,0.372425537,9.771579768
3.556076458,0.958007813,9.693691864,0.344733124,9.747013997
3.566105458,0.839604034,9.709259491,0.246088257,9.748600629
3.576134458,0.703836365,9.764195251,0.133222961,9.790436297
3.586163458,0.61192749,9.743687897,-0.019609222,9.762903953
3.596192458,0.498313751,9.652228088,-0.166004791,9.666508225
3.606222458,0.359851685,9.638307037,-0.201930084,9.647135924
3.616251458,0.288749542,9.689799957,-0.170046387,9.69559257
3.626280458,0.233364716,9.754166107,-0.111069031,9.75758945
3.636309458,0.177381134,9.909393311,-0.0490979,9.911102383
3.646338458,0.095501404,10.06761429,-0.017663269,10.06808274
3.656367458,0.002245331,10.10353958,0.001796265,10.10353999
3.666397458,-0.080831909,10.0156723,0.051043854,10.01612854
3.676426458,-0.094902649,9.903256073,0.19654129,9.905660798
3.686455458,-0.005388794,9.812844086,0.425265656,9.822056249
3.696484458,0.244441681,9.74563385,0.591420136,9.766622172
3.706513458,0.550106049,9.599687347,0.524658966,9.629739397
3.716542458,0.721499634,9.460027771,0.244142304,9.490642371
3.726571458,0.758772125,9.466763763,0.021555176,9.497147778
3.736601458,0.669857025,9.548194427,-0.18726059,9.573494231
3.746630458,0.561033325,9.72572525,-0.362246704,9.748626196
3.756659458,0.512384491,9.955647125,-0.252075806,9.972010317
3.766688458,0.475860443,10.12883698,-0.048349457,10.14012423
3.776717458,0.453257446,10.23017624,0.227676544,10.24274303
3.786746458,0.43993515,10.11671219,0.563578033,10.14194403
3.796776458,0.397273865,9.854607239,0.81909668,9.896566562
3.806805458,0.53708313,9.598938904,0.942589874,9.660049795
3.816834458,0.7020401,9.472152557,1.060394897,9.557142445
3.826863458,0.85651886,9.450447693,1.042432251,9.546268965
3.836892458,1.050216064,9.537117462,0.789907379,9.627227895
3.846921458,1.168320465,9.702972565,0.329764252,9.778619216
3.856950458,1.228944397,9.826914825,-0.164358215,9.90482574
3.866980458,1.286873932,9.975555725,-0.499211884,10.07059924
3.877009458,1.202599182,9.996961212,-0.650397492,10.09001958
3.887038458,0.944535828,9.920320587,-0.676143951,9.988096872
3.897067458,0.543968811,9.892478485,-0.388741608,9.915046782
3.907096458,0.144449616,9.974657593,-0.126636658,9.976507236
3.917125458,-0.169896698,10.0156723,0.089214478,10.01751046
3.927155458,-0.535286865,9.871222687,0.350720673,9.891944923
3.937184458,-0.836460571,9.631720734,0.51956955,9.681924555
3.947213458,-1.055904236,9.424850922,0.502654724,9.49712643
3.957242458,-1.111887817,9.374854889,0.31823822,9.445923685
3.967271458,-0.919088745,9.438771973,0.202828217,9.485582732
3.977300458,-0.590522003,9.603878632,0.330512695,9.627691294
3.987329458,-0.299227753,9.617200928,0.41658371,9.630868752
3.997359458,-0.163460083,9.547445984,0.549656982,9.564651944
4.007388458,-0.148491211,9.43907135,0.39428009,9.44846942
4.017417458,-0.204624481,9.410929871,0.251477051,9.416512779
4.027446458,-0.155975647,9.418414307,-0.004041595,9.419706619
4.037475458,-0.117805023,9.400601349,-0.16735199,9.402828853
4.047504458,-0.039966888,9.4636203,-0.207767944,9.465985108
4.057533458,0.010627899,9.480535126,-0.270487518,9.484398912
4.067563458,0.11705658,9.42859314,-0.286055145,9.433657741
4.077592458,0.086071014,9.482780457,-0.355061646,9.489815708
4.087621458,0.140108643,9.618398438,-0.236807556,9.622333228
4.097650458,0.162861328,9.707912292,-0.317489777,9.714467801
4.107679458,0.24459137,9.703721008,-0.353714447,9.713245609
4.117708458,0.305814056,9.632618866,-0.380658417,9.644986744
4.127738458,0.343086548,9.607321472,-0.48798523,9.625822761
4.137767458,0.198487244,9.723479919,-0.546363831,9.740840434
